reservation_id,guest_key,property_key,room_type_key,rate_code_key,check_in_date,check_out_date,nights_stayed,room_rate,total_amount,booking_date,booking_channel,confirmation_status
1,1,1,5,1,2025-01-15,2025-01-18,3,1299.00,3897.00,2024-12-01,Website,Confirmed
2,2,2,3,2,2025-01-20,2025-01-23,3,339.15,1017.45,2024-12-15,Phone,Confirmed
3,3,3,1,1,2025-02-01,2025-02-04,3,299.00,897.00,2025-01-10,Website,Confirmed
4,4,5,8,3,2025-02-14,2025-02-17,3,303.20,909.60,2025-01-20,Travel Agent,Confirmed
5,5,4,2,5,2025-02-20,2025-02-22,2,251.10,502.20,2025-01-25,Corporate Portal,Confirmed
6,6,7,4,1,2025-03-01,2025-03-05,4,599.00,2396.00,2025-02-01,Website,Confirmed
7,7,6,2,7,2025-03-10,2025-03-13,3,256.68,770.04,2025-02-15,AAA Portal,Confirmed
8,8,1,3,1,2025-03-15,2025-03-18,3,399.00,1197.00,2025-02-20,Phone,Confirmed
9,9,8,1,10,2025-04-01,2025-04-03,2,209.30,418.60,2025-03-01,Website,Confirmed
10,10,2,7,1,2025-04-10,2025-04-15,5,1999.00,9995.00,2025-03-10,Concierge,Confirmed
11,1,3,4,4,2025-04-20,2025-04-25,5,449.25,2246.25,2025-03-15,Website,Confirmed
12,2,1,6,1,2025-05-01,2025-05-04,3,449.00,1347.00,2025-04-01,Phone,Confirmed
13,3,5,8,2,2025-05-15,2025-05-18,3,321.65,964.95,2025-04-10,Website,Confirmed
14,4,7,5,1,2025-06-01,2025-06-05,4,1299.00,5196.00,2025-05-01,Travel Agent,Confirmed
15,5,6,3,3,2025-06-10,2025-06-13,3,319.20,957.60,2025-05-15,Corporate Portal,Confirmed
