transaction_id,reservation_id,guest_key,property_key,menu_item_key,service_category_key,transaction_date,quantity,unit_price,total_amount,payment_method,server_id
1,1,1,1,1,1,2025-01-15,1,65.00,65.00,Room Charge,101
2,1,1,1,9,2,2025-01-15,1,350.00,350.00,Room Charge,201
3,1,1,1,15,4,2025-01-16,1,180.00,180.00,Credit Card,401
4,2,2,2,3,1,2025-01-20,2,32.00,64.00,Room Charge,102
5,2,2,2,11,2,2025-01-21,2,16.00,32.00,Cash,202
6,3,3,3,13,3,2025-02-01,1,28.00,28.00,Room Charge,301
7,3,3,3,17,5,2025-02-02,1,85.00,85.00,Credit Card,501
8,4,4,5,2,1,2025-02-14,1,48.00,48.00,Room Charge,105
9,4,4,5,7,1,2025-02-14,2,18.00,36.00,Room Charge,105
10,5,5,4,14,3,2025-02-20,1,24.00,24.00,Room Charge,104
11,6,6,7,4,1,2025-03-01,1,42.00,42.00,Room Charge,107
12,6,6,7,12,2,2025-03-01,3,45.00,135.00,Credit Card,207
13,7,7,6,5,1,2025-03-10,2,16.00,32.00,Room Charge,106
14,8,8,1,16,4,2025-03-15,1,150.00,150.00,Credit Card,401
15,9,9,8,6,1,2025-04-01,1,24.00,24.00,Room Charge,108
16,10,10,2,1,1,2025-04-10,2,65.00,130.00,Room Charge,102
17,10,10,2,9,2,2025-04-11,2,350.00,700.00,Room Charge,202
18,11,1,3,18,5,2025-04-20,1,25.00,25.00,Credit Card,503
19,12,2,1,8,1,2025-05-01,1,14.00,14.00,Room Charge,101
20,13,3,5,10,2,2025-05-15,3,18.00,54.00,Cash,205
